segment_id,text,start,duration,vid
32,good evening mr. Corbin thank you very,96.149,3.521,8cQMzVjHBeI
33,much for being with us,98.38,3.36,8cQMzVjHBeI
34,it's a pleasure before we start and I,99.67,3.809,8cQMzVjHBeI
35,promise you I'm saying this to everybody,101.74,3.629,8cQMzVjHBeI
36,the aim tonight is to allow our audience,103.479,4.2,8cQMzVjHBeI
37,here to ask you as many questions as,105.369,3.481,8cQMzVjHBeI
38,possible so if you could keep your,107.679,3.421,8cQMzVjHBeI
39,answers brief and to the point that,108.85,3.39,8cQMzVjHBeI
40,would be great and I hope you'll forgive,111.1,3.9,8cQMzVjHBeI
41,me for interrupting if you don't so,112.24,5.579,8cQMzVjHBeI
42,let's have our first question from Ian,115,7.289,8cQMzVjHBeI
43,Parkin good evening Jeremy should,117.819,6.601,8cQMzVjHBeI
44,businesses be frightened of an incoming,122.289,5.491,8cQMzVjHBeI
45,labour government no they should not be,124.42,4.379,8cQMzVjHBeI
46,frightened of an incoming labour,127.78,3.66,8cQMzVjHBeI
47,government because our country's economy,128.799,5.821,8cQMzVjHBeI
48,relies on many small and medium-sized,131.44,5.28,8cQMzVjHBeI
49,enterprises that are the motor of our,134.62,3.78,8cQMzVjHBeI
50,economy that often have great difficulty,136.72,3.69,8cQMzVjHBeI
51,in accessing capital and accessing,138.4,3.36,8cQMzVjHBeI
52,support for what they're trying to do,140.41,3.93,8cQMzVjHBeI
53,the biggest businesses will be asked to,141.76,5.25,8cQMzVjHBeI
54,pay a little bit more in corporation tax,144.34,5.399,8cQMzVjHBeI
55,but it will be lower than it was in 2010,147.01,4.08,8cQMzVjHBeI
56,and indeed lower than the average for,149.739,3.961,8cQMzVjHBeI
57,most industrial countries what I want to,151.09,5.1,8cQMzVjHBeI
58,do is ensure that there is an economy,153.7,4.23,8cQMzVjHBeI
59,thriving in every part of the country,156.19,4.199,8cQMzVjHBeI
60,and so that means the resources it means,157.93,4.32,8cQMzVjHBeI
61,an infrastructure system roads and,160.389,3.63,8cQMzVjHBeI
62,railways all across the country it means,162.25,3.9,8cQMzVjHBeI
63,broadband in every part of our country,164.019,4.921,8cQMzVjHBeI
64,that's free to everyone to use and that,166.15,5.19,8cQMzVjHBeI
65,will mean that businesses can set be set,168.94,6.03,8cQMzVjHBeI
66,up anywhere it also is also clear in our,171.34,5.82,8cQMzVjHBeI
67,manifesto here that what we came to do,174.97,4.019,8cQMzVjHBeI
68,is ensure there is a better trained,177.16,4.32,8cQMzVjHBeI
69,workforce in our society so we will be,178.989,4.801,8cQMzVjHBeI
70,promoting apprenticeships and skilled,181.48,4.259,8cQMzVjHBeI
71,training at every level and gives them,183.79,4.199,8cQMzVjHBeI
72,the same value as academic education in,185.739,4.891,8cQMzVjHBeI
73,universities and so I enjoy working with,187.989,4.801,8cQMzVjHBeI
74,all the business organizations setting,190.63,3.93,8cQMzVjHBeI
75,out clearly our views on public,192.79,4.259,8cQMzVjHBeI
76,ownership our views on taxation and our,194.56,4.35,8cQMzVjHBeI
77,views on investment for the future okay,197.049,4.791,8cQMzVjHBeI
78,there's two people there hands,198.91,2.93,8cQMzVjHBeI
79,um to be honest mr. Corben I don't think,204.11,4.48,8cQMzVjHBeI
80,it's businesses who should be scared,206.91,3.69,8cQMzVjHBeI
81,just I think it's everyone you're,208.59,5.37,8cQMzVjHBeI
82,reckless socialist ideas are genuinely,210.6,5.85,8cQMzVjHBeI
83,terrifying to me my family and my,213.96,4.05,8cQMzVjHBeI
84,friends and I think freedom will,216.45,3.75,8cQMzVjHBeI
85,completely erode if we let you have the,218.01,4.29,8cQMzVjHBeI
86,keys number 10 okay before you answer,220.2,3.54,8cQMzVjHBeI
87,mr. Corben can I hear from you as well,222.3,3.48,8cQMzVjHBeI
88,please so what about the businesses that,223.74,3.45,8cQMzVjHBeI
89,you're going to nationalize that then,225.78,3.3,8cQMzVjHBeI
90,warmth exists so when you're saying,227.19,3.81,8cQMzVjHBeI
91,about free internet and your likes a,229.08,3.03,8cQMzVjHBeI
92,vergence garden they haven't got a,231,6.51,8cQMzVjHBeI
93,product to sell the issue of your views,232.11,8.16,8cQMzVjHBeI
94,on rights and freedoms in our society,237.51,5.82,8cQMzVjHBeI
95,I absolutely defend the right of free,240.27,5.7,8cQMzVjHBeI
96,speech I supported the introduction of,243.33,4.2,8cQMzVjHBeI
97,the Human Rights Act I support the,245.97,3.9,8cQMzVjHBeI
98,Convention on Human Rights freedoms and,247.53,4.77,8cQMzVjHBeI
99,rights in a democracy are very very,249.87,4.56,8cQMzVjHBeI
100,important I spent my life getting into,252.3,4.77,8cQMzVjHBeI
101,hot water for defending people because I,254.43,4.649,8cQMzVjHBeI
102,believe their human rights should not be,257.07,3.449,8cQMzVjHBeI
103,violated and that's the kind of,259.079,3.541,8cQMzVjHBeI
104,government that I intend to lead that it,260.519,3.781,8cQMzVjHBeI
105,does guarantee democracy so why do you,262.62,2.94,8cQMzVjHBeI
106,think this man is frightened of you,264.3,5.369,8cQMzVjHBeI
107,being in power well I can't understand,265.56,5.94,8cQMzVjHBeI
108,what everything is going on in your mind,269.669,3.771,8cQMzVjHBeI
109,that makes you say that what it would,271.5,10.37,8cQMzVjHBeI
110,maybe would maybe we can talk about it I,273.44,12.13,8cQMzVjHBeI
111,live in a society where we do deal with,281.87,6.04,8cQMzVjHBeI
112,the worst aspects of poverty that exist,285.57,4.47,8cQMzVjHBeI
113,in our society we do invest properly in,287.91,4.02,8cQMzVjHBeI
114,our schools we do give all our children,290.04,3.81,8cQMzVjHBeI
115,a real chance and we do have a health,291.93,3.81,8cQMzVjHBeI
116,service that is really there for all of,293.85,4.23,8cQMzVjHBeI
117,us all times that's the kind of agenda,295.74,4.05,8cQMzVjHBeI
118,that I've spent my life dealing was the,298.08,3.29,8cQMzVjHBeI
119,gentleman that asked the question about,299.79,4.53,8cQMzVjHBeI
120,businesses on the questions of public,301.37,4.39,8cQMzVjHBeI
121,ownership which are quite right to raise,304.32,4.44,8cQMzVjHBeI
122,our proposals are that we will take our,305.76,5.43,8cQMzVjHBeI
123,railways which after all were invested,308.76,3.9,8cQMzVjHBeI
124,in and built by the rest of us back into,311.19,3.57,8cQMzVjHBeI
125,public ownership will take Royal Mail,312.66,4.38,8cQMzVjHBeI
126,back into public ownership as it's a,314.76,4.409,8cQMzVjHBeI
127,natural monopoly and our water industry,317.04,4.92,8cQMzVjHBeI
128,which has been assets stripped to within,319.169,4.351,8cQMzVjHBeI
129,in each of its life though many of these,321.96,3.93,8cQMzVjHBeI
130,water companies and wastes a great deal,323.52,4.17,8cQMzVjHBeI
131,of water will come back into public,325.89,3.9,8cQMzVjHBeI
132,ownership which will be run with,327.69,4.26,8cQMzVjHBeI
133,consumer and worker involvement the new,329.79,4.47,8cQMzVjHBeI
134,announcement we made last week was on,331.95,5.1,8cQMzVjHBeI
135,broadband because I believe that,334.26,4.379,8cQMzVjHBeI
136,the government's proposals are,337.05,4.26,8cQMzVjHBeI
137,insufficient only 10% of households in,338.639,5.041,8cQMzVjHBeI
138,the whole of the UK get access to a,341.31,4.829,8cQMzVjHBeI
139,fiber-optic broadband we will make that,343.68,4.019,8cQMzVjHBeI
140,a hundred percent within ten years,346.139,4.02,8cQMzVjHBeI
141,starting in the areas the remote air is,347.699,3.81,8cQMzVjHBeI
142,the country that have the least access,350.159,3.211,8cQMzVjHBeI
143,at the moment hence we can get the,351.509,4.021,8cQMzVjHBeI
144,business develop okay let's a little bit,353.37,7.68,8cQMzVjHBeI
145,more than that in a way mr. Corbyn I,355.53,7.44,8cQMzVjHBeI
146,heard you talk about free speech and,361.05,3.839,8cQMzVjHBeI
147,standing up for human rights and I have,362.97,4.949,8cQMzVjHBeI
148,two young daughters and what terrifies,364.889,4.951,8cQMzVjHBeI
149,me as I look at some of the Labour MPs,367.919,3.93,8cQMzVjHBeI
150,some female Labour MPs and misogyny,369.84,3,8cQMzVjHBeI
151,that's happened in the labour party,371.849,3.12,8cQMzVjHBeI
152,they've been driven out the party I look,372.84,3.889,8cQMzVjHBeI
153,at a video on YouTube with Ruth Smith,374.969,3.51,8cQMzVjHBeI
154,particularly because I'm willing to give,376.729,3.071,8cQMzVjHBeI
155,you the benefit of the doubt in terms of,378.479,2.791,8cQMzVjHBeI
156,maybe people are indeed in your name and,379.8,3.51,8cQMzVjHBeI
157,not supported by but I look at a video,381.27,4.199,8cQMzVjHBeI
158,of real Smith online where she was in a,383.31,4.079,8cQMzVjHBeI
159,press conference with you and basically,385.469,3.901,8cQMzVjHBeI
160,the RIS Meath a Jewish MP was heckled,387.389,3.721,8cQMzVjHBeI
161,out of that press conferences online us,389.37,4.049,8cQMzVjHBeI
162,on YouTube and there you are at the end,391.11,4.049,8cQMzVjHBeI
163,of the press conference chatting happily,393.419,3.93,8cQMzVjHBeI
164,to that same Hitler I don't buy this,395.159,5.13,8cQMzVjHBeI
165,whole nice or grandpa I see that video,397.349,4.801,8cQMzVjHBeI
166,and that tells me all I need to know and,400.289,3.421,8cQMzVjHBeI
167,I'm terrified for my daughters because I,402.15,3.6,8cQMzVjHBeI
168,see what you did in that video and yeah,403.71,3.959,8cQMzVjHBeI
169,I don't understand how you can say you,405.75,3.15,8cQMzVjHBeI
170,stand up for human rights and free,407.669,3.03,8cQMzVjHBeI
171,speech when that's how you support a,408.9,4.319,8cQMzVjHBeI
172,Labour MP at a Labour press conference I,410.699,3.72,8cQMzVjHBeI
173,think it's disgraceful,413.219,5.401,8cQMzVjHBeI
174,nobody's Facebook nobody should suffer,414.419,7.59,8cQMzVjHBeI
175,any abuse in public life or privately,418.62,7.71,8cQMzVjHBeI
176,Claire what's the video nobody should,422.009,7.351,8cQMzVjHBeI
177,suffer abuse and many women Labour MPs,426.33,5.13,8cQMzVjHBeI
178,Ruth Smith included and others have,429.36,4.26,8cQMzVjHBeI
179,suffered the most unbelievable levels of,431.46,5.73,8cQMzVjHBeI
180,abuse and it was a Labour MP Joe Cox who,433.62,6.06,8cQMzVjHBeI
181,was who was murdered because she stood,437.19,4.409,8cQMzVjHBeI
182,up for publicness stood up in public,439.68,4.38,8cQMzVjHBeI
183,life I simply say to you that bad,441.599,5.28,8cQMzVjHBeI
184,behavior massagin ISM racism in any form,444.06,6.18,8cQMzVjHBeI
185,is absolutely not acceptable in any form,446.879,6.241,8cQMzVjHBeI
186,whatsoever in my party or in our society,450.24,5.929,8cQMzVjHBeI
187,then what then why wait,453.12,3.049,8cQMzVjHBeI
188,it's online why were you talking happily,457.56,5.44,8cQMzVjHBeI
189,and with a smile on your face that same,461.02,4.08,8cQMzVjHBeI
190,Hitler which has been heckled in tears,463,3.06,8cQMzVjHBeI
191,are the press comes,465.1,3,8cQMzVjHBeI
192,why would Labour MPs female MPs need,466.06,4.2,8cQMzVjHBeI
193,bodyguards at labor conference I just,468.1,3.81,8cQMzVjHBeI
194,don't understand it but it seems like,470.26,3.54,8cQMzVjHBeI
195,we're not many conversations with Ruth,471.91,4.8,8cQMzVjHBeI
196,Smith since then I'm concerned I'd known,473.8,5.25,8cQMzVjHBeI
197,for many years and I did say hello to,476.71,4.08,8cQMzVjHBeI
198,him as I left a meeting as you would,479.05,4.17,8cQMzVjHBeI
199,somebody you'd known as also you don't,480.79,4.64,8cQMzVjHBeI
200,know what was said between going look at,483.22,5.1,8cQMzVjHBeI
201,thank you I mean mr. Coburn under your,485.43,4.48,8cQMzVjHBeI
202,leadership labour has become the second,488.32,4.05,8cQMzVjHBeI
203,political party after the BNP so the,489.91,4.17,8cQMzVjHBeI
204,best labour has become the second,492.37,3.57,8cQMzVjHBeI
205,political party of the BNP to,494.08,3.93,8cQMzVjHBeI
206,investigate by the equality and human,495.94,3.75,8cQMzVjHBeI
207,rights commission how do you feel to be,498.01,3.63,8cQMzVjHBeI
208,in that kind of company it's our process,499.69,4.5,8cQMzVjHBeI
209,that is being looked at and I'm very,501.64,4.14,8cQMzVjHBeI
210,happy about that we've laid ourselves,504.19,3.81,8cQMzVjHBeI
211,completely open to it we're the party,505.78,4.17,8cQMzVjHBeI
212,that after will set up the equality and,508,3.24,8cQMzVjHBeI
213,Human Rights Commission and in,509.95,3.209,8cQMzVjHBeI
214,government we will fund it properly and,511.24,4.02,8cQMzVjHBeI
215,I think it's right that our processes,513.159,4.051,8cQMzVjHBeI
216,should be examined we are the only party,515.26,4.529,8cQMzVjHBeI
217,that actually has a full process to deal,517.21,5.1,8cQMzVjHBeI
218,with abuse by using races investigating,519.789,6.391,8cQMzVjHBeI
219,any form within our party or our society,522.31,5.97,8cQMzVjHBeI
220,is simply not acceptable we have,526.18,4.05,8cQMzVjHBeI
221,suspended and expelled members that have,528.28,4.95,8cQMzVjHBeI
222,been guilty of any racist activity when,530.23,10.26,8cQMzVjHBeI
223,I hear you talk about standing by human,533.23,9.6,8cQMzVjHBeI
224,rights and so on but recently it took a,540.49,4.95,8cQMzVjHBeI
225,stands alongside Evo Morales who,542.83,4.98,8cQMzVjHBeI
226,recently resigned and left Bolivia to,545.44,2.94,8cQMzVjHBeI
227,Mexico,547.81,2.19,8cQMzVjHBeI
228,there's protests in Bolivia that I've,548.38,4.2,8cQMzVjHBeI
229,turned violent in support of Evo Morales,550,4.92,8cQMzVjHBeI
230,including food blockades that are,552.58,5.73,8cQMzVjHBeI
231,starving cities like La Paz so how are,554.92,4.8,8cQMzVjHBeI
232,you how are you supporting human rights,558.31,2.67,8cQMzVjHBeI
233,in that regard when you're standing with,559.72,3.21,8cQMzVjHBeI
234,somebody who has protests that support,560.98,3.3,8cQMzVjHBeI
235,in that use such violent means to the,562.93,6.15,8cQMzVjHBeI
236,user I met Evo Morales in Mexico last,564.28,6.78,8cQMzVjHBeI
237,year I had a very long conversation with,569.08,4.2,8cQMzVjHBeI
238,him about his country and about the,571.06,3.93,8cQMzVjHBeI
239,economic development that's happened and,573.28,3.45,8cQMzVjHBeI
240,the numbers of people have been taken,574.99,2.67,8cQMzVjHBeI
241,out of poverty,576.73,3.09,8cQMzVjHBeI
242,obviously I follow what's going on in,577.66,3.99,8cQMzVjHBeI
243,that country as I do in many other,579.82,4.019,8cQMzVjHBeI
244,countries in the world he resigned from,581.65,5.11,8cQMzVjHBeI
245,the presidency and now his move,583.839,6.101,8cQMzVjHBeI
246,out of Bolivia I ask and to support the,586.76,4.59,8cQMzVjHBeI
247,other Latin American governments that,589.94,4.47,8cQMzVjHBeI
248,asked for a process of peace in Bolivia,591.35,5.52,8cQMzVjHBeI
249,so that the Constitution can be restored,594.41,4.59,8cQMzVjHBeI
250,so that democratic government can come,596.87,4.019,8cQMzVjHBeI
251,back but that's not what surely is the,599,3.839,8cQMzVjHBeI
252,right thing to do I agree but that's not,600.889,3.06,8cQMzVjHBeI
253,what you said in Twitter you said you,602.839,2.911,8cQMzVjHBeI
254,stand by Evo Morales you took a position,603.949,6.181,8cQMzVjHBeI
255,in something in such a is a a dispute,605.75,6.63,8cQMzVjHBeI
256,right now a civil unrest that any,610.13,4.41,8cQMzVjHBeI
257,opinion one way or another is turning,612.38,3.99,8cQMzVjHBeI
258,violent so when you take a position in,614.54,3.419,8cQMzVjHBeI
259,some there is of course there are,616.37,3.269,8cQMzVjHBeI
260,involved it's obvious there is it's,617.959,3.541,8cQMzVjHBeI
261,obvious there is civil unrest in Bolivia,619.639,3.271,8cQMzVjHBeI
262,there are very strong feelings on both,621.5,3.72,8cQMzVjHBeI
263,sides about people that feel they've,622.91,5.34,8cQMzVjHBeI
264,been let down because every Morales is,625.22,5.22,8cQMzVjHBeI
265,no longer president others that probably,628.25,4.649,8cQMzVjHBeI
266,don't support him at all surely the,630.44,4.139,8cQMzVjHBeI
267,function now is to try and bring people,632.899,2.101,8cQMzVjHBeI
268,together,634.579,2.37,8cQMzVjHBeI
269,I met ever Morales last year I've met,635,3.269,8cQMzVjHBeI
270,him over I don't know over the years,636.949,4.291,8cQMzVjHBeI
271,thank you and I recognized that Bolivia,638.269,5.041,8cQMzVjHBeI
272,before he became president was probably,641.24,3.959,8cQMzVjHBeI
273,the poorest country in Latin America it,643.31,4.05,8cQMzVjHBeI
274,isn't now okay I'm sorry that you don't,645.199,3.57,8cQMzVjHBeI
275,there's a lot of questions people want,647.36,2.61,8cQMzVjHBeI
276,to get in let's hear a question from,648.769,2.13,8cQMzVjHBeI
277,Daniel Holt,649.97,4.53,8cQMzVjHBeI
278,where are you Daniel and mr. Carvin will,650.899,5.401,8cQMzVjHBeI
279,you campaign to remain I'll leave in the,654.5,3.72,8cQMzVjHBeI
280,EU if elected why would anyone vote,656.3,3.45,8cQMzVjHBeI
281,labor without knowing the answer to that,658.22,3.71,8cQMzVjHBeI
282,question,659.75,2.18,8cQMzVjHBeI
283,thanks for your question the issue of,665,5.85,8cQMzVjHBeI
284,brexit can be one that divides people,668.36,6.029,8cQMzVjHBeI
285,enormously and it has and it does our,670.85,5.25,8cQMzVjHBeI
286,whole strategy my whole strategy has,674.389,3.81,8cQMzVjHBeI
287,been to try to bring people together,676.1,3.95,8cQMzVjHBeI
288,however they voted in the referendum in,678.199,3.931,8cQMzVjHBeI
289,2016 but the question is when your,680.05,3.64,8cQMzVjHBeI
290,campaign to remain or leave the EU if,682.13,4.92,8cQMzVjHBeI
291,elected can I answer it no I'm not going,683.69,6.839,8cQMzVjHBeI
292,to answer it that's it right one we will,687.05,5.61,8cQMzVjHBeI
293,negotiate a credible leave deal with the,690.529,3.961,8cQMzVjHBeI
294,European you let me finish please I've,692.66,3.45,8cQMzVjHBeI
295,got a trying to answer gentleman's,694.49,4.2,8cQMzVjHBeI
296,question secondly we will put that,696.11,5.94,8cQMzVjHBeI
297,alongside remain in a referendum my role,698.69,5.16,8cQMzVjHBeI
298,and the role of our government will be,702.05,3.87,8cQMzVjHBeI
299,to ensure that that referendum is held,703.85,4.95,8cQMzVjHBeI
300,in a fair atmosphere and we will abide,705.92,6.479,8cQMzVjHBeI
301,by the result of it and I will adopt as,708.8,5.159,8cQMzVjHBeI
302,Prime Minister of Home at the time a,712.399,3.75,8cQMzVjHBeI
303,neutral stance so that I can credibly,713.959,4.56,8cQMzVjHBeI
304,carry out the results of that to bring,716.149,4.261,8cQMzVjHBeI
305,our communities and country together,718.519,4.891,8cQMzVjHBeI
306,rather than continuing an endless debate,720.41,6.239,8cQMzVjHBeI
307,about the EU and brexit this will be a,723.41,5.82,8cQMzVjHBeI
308,trade deal with Europe or remaining in,726.649,4.44,8cQMzVjHBeI
309,the EU that will be the choice that we,729.23,3.719,8cQMzVjHBeI
310,put before the British people within six,731.089,3.661,8cQMzVjHBeI
311,months any other option will require,732.949,4.351,8cQMzVjHBeI
312,years of negotiations either with the EU,734.75,4.829,8cQMzVjHBeI
313,or the USA and put our public services,737.3,4.03,8cQMzVjHBeI
314,at risk Daniel,739.579,7.281,8cQMzVjHBeI
315,[Applause],741.33,7.34,8cQMzVjHBeI
316,we've already have three and a half,746.86,3.43,8cQMzVjHBeI
317,years of people and the British people,748.67,3.359,8cQMzVjHBeI
318,vote in 2016 so I don't need to vote,750.29,5.279,8cQMzVjHBeI
319,again well I think the demands of people,752.029,7.321,8cQMzVjHBeI
320,to try to a some parties want to revoke,755.569,5.82,8cQMzVjHBeI
321,article 50 I actually voted to implement,759.35,5.13,8cQMzVjHBeI
322,article 50 some people wanted a second,761.389,5.49,8cQMzVjHBeI
323,referendum some people wanted leaving,764.48,4.469,8cQMzVjHBeI
324,without any deal whatsoever which I,766.879,3.36,8cQMzVjHBeI
325,think would be catastrophic to our,768.949,3.6,8cQMzVjHBeI
326,economy people voted remain they voted,770.239,3.75,8cQMzVjHBeI
327,leave but they didn't vote to lose their,772.549,2.97,8cQMzVjHBeI
328,jobs they didn't vote for deregulation,773.989,3.69,8cQMzVjHBeI
329,they didn't vote for damage to our,775.519,4.26,8cQMzVjHBeI
330,economy and I think it's only sensible,777.679,4.5,8cQMzVjHBeI
331,and reasonable to put that option back,779.779,4.35,8cQMzVjHBeI
332,there to the people within six months in,782.179,4.02,8cQMzVjHBeI
333,order to bring our country and society,784.129,5.041,8cQMzVjHBeI
334,together to face the future together to,786.199,12.75,8cQMzVjHBeI
335,bring about a fairer Britain I mean this,789.17,11.909,8cQMzVjHBeI
336,this thing about saying that oh it's you,798.949,3.42,8cQMzVjHBeI
337,know lots of people groaning because,801.079,2.76,8cQMzVjHBeI
338,he's saying he's not going to take a,802.369,2.551,8cQMzVjHBeI
339,clear position there is actually,803.839,3.15,8cQMzVjHBeI
340,precedence for this now when there was a,804.92,5.009,8cQMzVjHBeI
341,referendum on Europe in the 1970s Howard,806.989,5.491,8cQMzVjHBeI
342,Wilson remained neutral okay so for,809.929,4.231,8cQMzVjHBeI
343,people to say oh this is ridiculous that,812.48,3.51,8cQMzVjHBeI
344,you not taking position it's false it's,814.16,5.119,8cQMzVjHBeI
345,a false position and actually,815.99,3.289,8cQMzVjHBeI
346,the Liberal Democrats are saying reverse,821.03,5.25,8cQMzVjHBeI
347,brexit stock brexit Boris Johnson is,823.73,5.49,8cQMzVjHBeI
348,saying get brexit done the only person,826.28,4.8,8cQMzVjHBeI
349,that actually has a clear strategy a,829.22,3.81,8cQMzVjHBeI
350,grown up sensible strategy is this man,831.08,9.24,8cQMzVjHBeI
351,right here Joe Nickell he was in favor,833.03,9.54,8cQMzVjHBeI
352,but he allowed a free vote on it yes the,840.32,7.44,8cQMzVjHBeI
353,woman there mr. Corbyn I appreciate your,842.57,8.61,8cQMzVjHBeI
354,efforts at bringing people together in,847.76,5.82,8cQMzVjHBeI
355,this country I understand your strategy,851.18,5.82,8cQMzVjHBeI
356,I what I'm really interested in is that,853.58,7.13,8cQMzVjHBeI
357,the Labour Party seems to be the only,857,7.92,8cQMzVjHBeI
358,party which is developing a credible set,860.71,6.55,8cQMzVjHBeI
359,of policies to deal with climate,864.92,7.74,8cQMzVjHBeI
360,emergency could you enlighten us about,867.26,8.22,8cQMzVjHBeI
361,what you think your Labour Party,872.66,5.7,8cQMzVjHBeI
362,policies would do for jobs and for a,875.48,5.18,8cQMzVjHBeI
363,good future for young people in,878.36,5.61,8cQMzVjHBeI
364,Sheffield thank you thank you thank you,880.66,6.07,8cQMzVjHBeI
365,very much for your question we face a,883.97,5.55,8cQMzVjHBeI
366,climate emergency across the whole world,886.73,5.76,8cQMzVjHBeI
367,it's very obvious unusual and extreme,889.52,4.41,8cQMzVjHBeI
368,weather patterns have got worse and,892.49,3.24,8cQMzVjHBeI
369,worse the poorest and most vulnerable,893.93,3.09,8cQMzVjHBeI
370,people in the poorest and most,895.73,3.48,8cQMzVjHBeI
371,vulnerable places suffer first others,897.02,5.43,8cQMzVjHBeI
372,suffer later we signed up to the Paris,899.21,6.06,8cQMzVjHBeI
373,climate change Accords in 2015 I was,902.45,4.83,8cQMzVjHBeI
374,there I thought it was great but it,905.27,3.51,8cQMzVjHBeI
375,didn't go far enough and it's got to go,907.28,3.84,8cQMzVjHBeI
376,much further so on May the first this,908.78,4.35,8cQMzVjHBeI
377,year I proposed to Parliament that we,911.12,4.62,8cQMzVjHBeI
378,declare a climate emergency in our,913.13,3.99,8cQMzVjHBeI
379,country and that's now been replicated,915.74,3.39,8cQMzVjHBeI
380,in many Parliament's around the world,917.12,4.44,8cQMzVjHBeI
381,and I'm pleased about that but it does,919.13,4.83,8cQMzVjHBeI
382,mean we've got to play our part by,921.56,4.71,8cQMzVjHBeI
383,reducing emissions to get to zero zero,923.96,4.65,8cQMzVjHBeI
384,emissions it also means the,926.27,5.01,8cQMzVjHBeI
385,possibilities of a huge number of jobs,928.61,5.34,8cQMzVjHBeI
386,and development in our country but in,931.28,4.559,8cQMzVjHBeI
387,dealing with this emergency it means,933.95,4.88,8cQMzVjHBeI
388,jobs in retrofitting houses to make them,935.839,5.371,8cQMzVjHBeI
389,environmentally sustainable to make them,938.83,4.9,8cQMzVjHBeI
390,better insulated to use less energy it,941.21,5.4,8cQMzVjHBeI
391,means green energy jobs wind wave solar,943.73,5.58,8cQMzVjHBeI
392,it means big projects like Swansea Bay,946.61,4.88,8cQMzVjHBeI
393,Lagoon it also means a lot,949.31,4.48,8cQMzVjHBeI
394,has to be done in protecting our diverse,951.49,4.98,8cQMzVjHBeI
395,biodiversity our seas and our rivers and,953.79,5.2,8cQMzVjHBeI
396,so our whole strategy is to develop a,956.47,4.679,8cQMzVjHBeI
397,green industrial revolution which will,958.99,4.62,8cQMzVjHBeI
398,create hundreds of thousands of jobs in,961.149,4.771,8cQMzVjHBeI
399,the future starting very very quickly,963.61,4.289,8cQMzVjHBeI
400,and we will be therefore playing our,965.92,4.169,8cQMzVjHBeI
401,part in getting to a more sustainable,967.899,4.56,8cQMzVjHBeI
402,world and a Labour government on the,970.089,3.931,8cQMzVjHBeI
403,international stage will be working with,972.459,4.021,8cQMzVjHBeI
404,others to get to Net Zero and make sure,974.02,4.379,8cQMzVjHBeI
405,that by our trading policies we don't,976.48,4.83,8cQMzVjHBeI
406,end up inadvertently exporting pollution,978.399,4.951,8cQMzVjHBeI
407,by having strong controls here but not,981.31,3.96,8cQMzVjHBeI
408,insisting on equally strong controls,983.35,3.84,8cQMzVjHBeI
409,somewhere else thank you I'm very,985.27,3.96,8cQMzVjHBeI
410,excited by everything that's in our,987.19,3.69,8cQMzVjHBeI
411,green industrial revolution strategy,989.23,3.72,8cQMzVjHBeI
412,just as much as I admire those in the,990.88,3.72,8cQMzVjHBeI
413,USA with the green new deal that they're,992.95,10.41,8cQMzVjHBeI
414,putting forward okay I noticed in your,994.6,10.95,8cQMzVjHBeI
415,opening speech that you mentioned about,1003.36,4.26,8cQMzVjHBeI
416,broadband again at a time when they're,1005.55,3.57,8cQMzVjHBeI
